,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
3742,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3743,GERD,5,3,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0
3744,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
3745,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
3746,Psoriasis,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
3747,Dengue,3,3,3,4,7,3,5,4,4,3,6,2,3,0,0,0,0
3748,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,3,0,0,0,0
3749,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
3750,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
3751,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
3752,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3753,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
3754,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
3755,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3756,Jaundice,1,5,4,3,7,3,4,0,0,0,0,0,0,0,0,0,0
3757,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
3758,Cervical spondylosis,3,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3759,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
3760,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
3761,Diabetes,4,3,2,5,5,4,4,5,4,0,0,0,0,0,0,0,0
3762,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
3763,Hypoglycemia,5,4,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0
3764,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
3765,GERD,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
3766,Chronic cholestasis,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
3767,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
3768,Fungal infection,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3769,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
3770,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
3771,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
3772,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
3773,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
3774,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
3775,Diabetes,4,3,2,5,5,4,4,5,4,0,0,0,0,0,0,0,0
3776,Hepatitis E,3,5,4,3,4,5,4,4,4,6,7,6,0,0,0,0,0
3777,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
3778,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
3779,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
3780,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3781,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
3782,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
3783,Hyperthyroidism,4,3,3,3,6,5,4,2,2,6,0,0,0,0,0,0,0
3784,Psoriasis,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
3785,Peptic ulcer diseae,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
3786,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
3787,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
3788,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
3789,Typhoid,3,5,4,7,3,5,4,6,5,4,0,0,0,0,0,0,0
3790,Diabetes,4,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0,0
3791,Malaria,3,5,7,3,5,6,2,0,0,0,0,0,0,0,0,0,0
3792,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
3793,Varicose veins,4,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0
3794,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
3795,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
3796,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
3797,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
3798,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0
3799,Gastroenteritis,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3800,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
3801,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3802,Migraine,3,5,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0
3803,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
3804,Tuberculosis,3,5,4,3,4,7,3,4,5,4,6,6,5,7,5,0,0
3805,Hyperthyroidism,4,3,3,3,6,5,4,2,2,6,0,0,0,0,0,0,0
3806,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
3807,Hypoglycemia,5,4,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0
3808,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
3809,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
3810,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
3811,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0
3812,Hypoglycemia,5,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0,0
3813,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
3814,Heart attack,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3815,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
3816,Hypoglycemia,5,4,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0
3817,Osteoarthristis,3,5,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0
3818,Hypertension,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3819,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3820,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0
3821,Diabetes,4,3,5,2,5,5,4,5,4,0,0,0,0,0,0,0,0
3822,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
3823,Bronchial Asthma,4,4,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0
3824,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3825,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
3826,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
3827,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
3828,Jaundice,1,5,4,3,7,3,4,0,0,0,0,0,0,0,0,0,0
3829,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
3830,(vertigo) Paroymsal  Positional Vertigo,5,3,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0
3831,Hyperthyroidism,4,3,3,5,3,6,5,2,2,6,0,0,0,0,0,0,0
3832,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3833,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0
3834,Cervical spondylosis,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3835,Fungal infection,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3836,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
3837,Gastroenteritis,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3838,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
3839,Typhoid,3,5,4,7,3,4,4,6,5,4,0,0,0,0,0,0,0
3840,Chicken pox,1,3,4,7,3,4,5,6,6,3,0,0,0,0,0,0,0
3841,Heart attack,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3842,Drug Reaction,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3843,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3844,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
3845,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
3846,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3847,Hypoglycemia,5,4,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0
3848,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
3849,Bronchial Asthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
3850,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3851,Peptic ulcer diseae,5,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
3852,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
3853,Hepatitis D,3,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0
3854,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
3855,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
3856,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
3857,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
3858,Varicose veins,4,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0
3859,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
3860,Bronchial Asthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
3861,Hyperthyroidism,4,3,3,5,3,5,4,2,2,6,0,0,0,0,0,0,0
3862,Malaria,3,5,7,3,3,5,2,0,0,0,0,0,0,0,0,0,0
3863,Varicose veins,4,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0
3864,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
3865,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
3866,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
3867,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
3868,Hypothyroidism,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0,0
3869,Allergy,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3870,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3871,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
3872,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
3873,Urinary tract infection,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3874,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
3875,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
3876,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
3877,Gastroenteritis,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3878,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
3879,Malaria,3,5,7,3,3,5,2,0,0,0,0,0,0,0,0,0,0
3880,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
3881,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
3882,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
3883,Urinary tract infection,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3884,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
3885,Peptic ulcer diseae,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
3886,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
3887,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
3888,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
3889,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
3890,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
3891,Cervical spondylosis,3,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3892,AIDS,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3893,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3894,Migraine,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0
3895,Hypothyroidism,4,3,5,2,4,5,6,5,5,3,2,6,0,0,0,0,0
3896,Chicken pox,1,3,4,2,7,3,5,6,6,3,0,0,0,0,0,0,0
3897,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
3898,hepatitis A,3,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0,0
3899,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
3900,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
3901,Chicken pox,1,3,4,7,3,4,5,6,6,3,0,0,0,0,0,0,0
3902,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3903,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
3904,Urinary tract infection,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3905,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
3906,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
3907,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0
3908,Dimorphic hemmorhoids(piles),4,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3909,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
3910,Allergy,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3911,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
3912,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
3913,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
3914,GERD,5,3,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0
3915,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
3916,Hypothyroidism,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0,0
3917,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3918,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0
3919,Hepatitis C,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
3920,Chicken pox,1,3,4,2,7,3,4,5,6,3,0,0,0,0,0,0,0
3921,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
3922,Migraine,3,5,3,5,4,4,3,2,0,0,0,0,0,0,0,0,0
3923,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
3924,Hyperthyroidism,4,3,3,5,6,5,4,2,2,6,0,0,0,0,0,0,0
3925,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
3926,Malaria,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0,0
3927,Gastroenteritis,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3928,Common Cold,4,3,4,4,3,6,6,5,4,5,4,5,5,7,3,2,0
3929,Hepatitis D,3,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0
3930,Osteoarthristis,3,5,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0
3931,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
3932,Jaundice,1,5,4,3,7,4,4,0,0,0,0,0,0,0,0,0,0
3933,Pneumonia,3,4,4,7,4,6,5,7,5,4,0,0,0,0,0,0,0
3934,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
3935,Dimorphic hemmorhoids(piles),4,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
3936,GERD,5,3,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
3937,Jaundice,1,5,4,3,3,4,4,0,0,0,0,0,0,0,0,0,0
3938,Hepatitis D,3,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0
3939,Common Cold,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2,0
3940,Malaria,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0,0
3941,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
3942,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
3943,Typhoid,3,5,4,7,3,5,4,6,5,4,0,0,0,0,0,0,0
3944,AIDS,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3945,Dimorphic hemmorhoids(piles),4,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3946,Dengue,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0,0
3947,Allergy,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3948,Hepatitis E,3,5,4,7,3,4,4,4,4,6,7,6,0,0,0,0,0
3949,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
3950,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
3951,Urinary tract infection,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3952,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
3953,GERD,5,3,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0
3954,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
3955,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0
3956,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3957,Arthritis,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3958,Peptic ulcer diseae,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
3959,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3960,Migraine,3,5,3,5,4,4,3,3,0,0,0,0,0,0,0,0,0
3961,Hepatitis D,3,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0
3962,Hypoglycemia,5,4,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0
3963,Osteoarthristis,3,5,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0
3964,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
3965,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
3966,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3967,Urinary tract infection,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3968,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
3969,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
3970,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
3971,Cervical spondylosis,3,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3972,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
3973,Allergy,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3974,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
3975,Migraine,3,5,3,5,4,3,2,3,0,0,0,0,0,0,0,0,0
3976,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
3977,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
3978,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
3979,Hepatitis D,3,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0
3980,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
3981,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
3982,Hypertension,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3983,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
3984,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0
3985,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
3986,Heart attack,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3987,Migraine,3,5,3,5,4,3,2,3,0,0,0,0,0,0,0,0,0
3988,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0
3989,Malaria,3,5,7,3,5,6,2,0,0,0,0,0,0,0,0,0,0
3990,Hepatitis C,4,3,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
3991,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
3992,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
3993,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3994,Urinary tract infection,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3995,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
3996,Fungal infection,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3997,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
3998,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
3999,Bronchial Asthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
4000,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
4001,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
4002,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
4003,Urinary tract infection,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4004,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
4005,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4006,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
4007,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
4008,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
4009,Peptic ulcer diseae,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
4010,hepatitis A,3,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0,0
4011,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
4012,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
4013,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
4014,hepatitis A,3,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0,0
4015,Hepatitis D,3,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0
4016,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
4017,Cervical spondylosis,3,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4018,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
4019,Hepatitis D,3,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0
4020,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
4021,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4022,Migraine,3,5,3,5,4,4,2,3,0,0,0,0,0,0,0,0,0
4023,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
4024,Arthritis,2,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4025,Osteoarthristis,3,5,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0
4026,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
4027,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
4028,Fungal infection,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4029,Impetigo,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4030,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4031,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4032,Chicken pox,1,3,4,7,3,4,5,6,6,3,0,0,0,0,0,0,0
4033,Allergy,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4034,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
4035,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
4036,Paralysis (brain hemorrhage),5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4037,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
4038,Psoriasis,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
4039,(vertigo) Paroymsal  Positional Vertigo,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0
4040,Heart attack,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4041,Osteoarthristis,3,5,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0
4042,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
4043,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
4044,Varicose veins,4,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0
4045,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
4046,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
4047,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
